 這封模擬郵件中，你覺得最可疑的地方是？  ,  看到登入頁後，你覺得它的可信度如何？  ,  接受這次訓練後，你對釣魚郵件的警覺性有提升嗎？  ,你最希望未來加強哪方面的反詐騙技巧？ ,  你覺得這次模擬體驗的真實度如何？,participant_id
"郵件語氣過於急迫, 內容用字或表達方式異常",5,5,寄件者驗證,5,P0001
郵件語氣過於急迫,5,3,寄件者驗證,4,P0002
網頁或郵件設計不一致,3,4,URL/網域檢查,4,P0003
按鈕網址,5,5,假網頁辨識,3,P0004
寄件者地址,5,5,社交工程的心理技巧,3,P0005
"寄件者地址, 按鈕網址, 網頁或郵件設計不一致",5,5,假網頁辨識,4,P0006
內容用字或表達方式異常,1,4,假網頁辨識,4,P0007
網頁或郵件設計不一致,4,4,社交工程的心理技巧,5,P0008
"郵件語氣過於急迫, 網頁或郵件設計不一致",5,5,URL/網域檢查,4,P0009
"按鈕網址, 網頁或郵件設計不一致",5,3,社交工程的心理技巧,4,P0010
按鈕網址,5,5,假網頁辨識,4,P0011
"寄件者地址, 按鈕網址, 網頁或郵件設計不一致",5,5,寄件者驗證,5,P0012
內容用字或表達方式異常,2,4,URL/網域檢查,4,P0013
"寄件者地址, 郵件語氣過於急迫, 網頁或郵件設計不一致",5,4,寄件者驗證,4,P0014
寄件者地址,5,5,假網頁辨識,4,P0015
"郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",5,5,假網頁辨識,5,P0016
"郵件語氣過於急迫, 內容用字或表達方式異常",5,4,寄件者驗證,4,P0017
當下沒有特別察覺到可疑之處,5,5,URL/網域檢查,5,P0018
當下沒有特別察覺到可疑之處,5,4,URL/網域檢查,4,P0019
當下沒有特別察覺到可疑之處,5,5,社交工程的心理技巧,4,P0020
按鈕網址,5,3,URL/網域檢查,3,P0021
"寄件者地址, 按鈕網址, 網頁或郵件設計不一致",5,5,假網頁辨識,5,P0022
寄件者地址,5,5,假網頁辨識,4,P0023
"寄件者地址, 郵件語氣過於急迫, 內容用字或表達方式異常",5,4,假網頁辨識,4,P0024
"寄件者地址, 按鈕網址, 網頁或郵件設計不一致",5,5,社交工程的心理技巧,3,P0025
寄件者地址,4,4,URL/網域檢查,4,P0026
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",5,5,假網頁辨識,5,P0027
"寄件者地址, 郵件語氣過於急迫, 內容用字或表達方式異常",5,4,寄件者驗證,2,P0028
"郵件語氣過於急迫, 按鈕網址",3,5,URL/網域檢查,2,P0029
"寄件者地址, 按鈕網址, 網頁或郵件設計不一致",4,3,社交工程的心理技巧,5,P0030
按鈕網址,4,5,寄件者驗證,5,P0031
寄件者地址,1,4,URL/網域檢查,4,P0032
"郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",5,3,URL/網域檢查,5,P0033
"寄件者地址, 郵件語氣過於急迫, 內容用字或表達方式異常",3,2,URL/網域檢查,3,P0034
寄件者地址,4,4,社交工程的心理技巧,4,P0035
寄件者地址,5,4,寄件者驗證,5,P0036
"郵件語氣過於急迫, 按鈕網址, 網頁或郵件設計不一致",5,5,社交工程的心理技巧,3,P0037
"寄件者地址, 按鈕網址, 內容用字或表達方式異常",5,5,URL/網域檢查,3,P0038
"寄件者地址, 網頁或郵件設計不一致",4,4,社交工程的心理技巧,4,P0039
按鈕網址,4,5,社交工程的心理技巧,4,P0040
"寄件者地址, 按鈕網址",5,4,寄件者驗證,4,P0041
"寄件者地址, 郵件語氣過於急迫",3,5,假網頁辨識,5,P0042
按鈕網址,4,5,URL/網域檢查,3,P0043
寄件者地址,4,4,URL/網域檢查,4,P0044
"按鈕網址, 內容用字或表達方式異常",3,4,URL/網域檢查,4,P0045
"寄件者地址, 按鈕網址",3,5,假網頁辨識,5,P0046
寄件者地址,1,5,假網頁辨識,5,P0047
"郵件語氣過於急迫, 網頁或郵件設計不一致, 內容用字或表達方式異常",1,5,社交工程的心理技巧,3,P0048
當下沒有特別察覺到可疑之處,4,5,假網頁辨識,3,P0049
當下沒有特別察覺到可疑之處,3,5,社交工程的心理技巧,5,P0050
內容用字或表達方式異常,4,4,社交工程的心理技巧,4,P0051
內容用字或表達方式異常,5,5,URL/網域檢查,4,P0052
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",3,5,假網頁辨識,4,P0053
網頁或郵件設計不一致,4,4,假網頁辨識,5,P0054
"寄件者地址, 按鈕網址, 內容用字或表達方式異常",4,5,URL/網域檢查,5,P0055
"按鈕網址, 內容用字或表達方式異常",4,3,假網頁辨識,4,P0056
網頁或郵件設計不一致,5,4,URL/網域檢查,4,P0057
按鈕網址,4,4,寄件者驗證,4,P0058
"寄件者地址, 內容用字或表達方式異常",4,4,假網頁辨識,4,P0059
"郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",4,4,URL/網域檢查,3,P0060
"按鈕網址, 內容用字或表達方式異常",3,4,寄件者驗證,5,P0061
寄件者地址,3,4,假網頁辨識,5,P0062
郵件語氣過於急迫,4,4,URL/網域檢查,4,P0063
"寄件者地址, 郵件語氣過於急迫, 內容用字或表達方式異常",5,5,假網頁辨識,5,P0064
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,4,假網頁辨識,4,P0065
寄件者地址,4,5,URL/網域檢查,5,P0066
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",5,5,社交工程的心理技巧,4,P0067
"郵件語氣過於急迫, 網頁或郵件設計不一致, 內容用字或表達方式異常",1,5,URL/網域檢查,5,P0068
"寄件者地址, 按鈕網址",3,4,寄件者驗證,5,P0069
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,3,社交工程的心理技巧,3,P0070
按鈕網址,5,4,社交工程的心理技巧,4,P0071
寄件者地址,4,5,寄件者驗證,4,P0072
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",5,5,URL/網域檢查,5,P0073
"寄件者地址, 按鈕網址",4,4,社交工程的心理技巧,4,P0074
寄件者地址,4,5,社交工程的心理技巧,5,P0075
寄件者地址,2,4,URL/網域檢查,4,P0076
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",3,4,URL/網域檢查,4,P0077
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,3,寄件者驗證,5,P0078
"郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",3,5,假網頁辨識,5,P0079
寄件者地址,4,3,社交工程的心理技巧,5,P0080
按鈕網址,5,4,URL/網域檢查,5,P0081
"內容用字或表達方式異常, 當下沒有特別察覺到可疑之處",1,3,假網頁辨識,4,P0082
