  您目前的身分為？（系級）  ,您是否經常使用 Moodle 教育平台？ ,   您之前是否接受過資安或釣魚防範訓練？  ,  當信件看起來「非常緊急」時，您有多容易立即點擊或回應？  ,  您平時會檢查 Email 的寄件者地址嗎？  ,  遇到連結時，您檢查網址真實性的頻率？  ,  若您懷疑 Email 有問題，您平常的處理方式是？  ,  您對自己辨識釣魚郵件的能力有多少信心？  ,variant,participant_id
大學,從來沒使用過,沒有,5,1,1,忽略,5,A,P0001
大學,每天,有,3,4,3,忽略,3,A,P0002
大學,每天,有,5,3,4,問同學/朋友,3,A,P0003
研究所,幾乎不用,有,3,3,3,問同學/朋友,3,A,P0004
大學,每天,沒有,1,1,1,忽略,4,A,P0005
大學,從來沒使用過,沒有,4,1,5,忽略,1,A,P0006
大學,從來沒使用過,沒有,3,4,2,刪除,1,A,P0007
研究所,從來沒使用過,有,1,5,5,回報給學校或 IT 單位,4,A,P0008
大學,每天,沒有,2,1,1,忽略,1,A,P0009
大學以下,從來沒使用過,沒有,1,1,1,忽略,1,A,P0010
大學,從來沒使用過,沒有,4,3,3,問同學/朋友,3,A,P0011
大學,從來沒使用過,沒有,3,5,4,刪除,4,A,P0012
研究所,每週 1 次以下,有,2,5,5,忽略,5,A,P0013
研究所,從來沒使用過,沒有,3,4,4,刪除,3,A,P0014
大學,每天,沒有,4,4,4,忽略,5,A,P0015
大學,從來沒使用過,有,5,5,4,回報給學校或 IT 單位,4,A,P0016
研究所,從來沒使用過,有,3,4,4,刪除,3,A,P0017
大學,每週 2–5 次,有,5,3,2,問同學/朋友,4,A,P0018
研究所,從來沒使用過,沒有,2,1,4,忽略,4,A,P0019
研究所,從來沒使用過,沒有,5,1,2,忽略,4,A,P0020
大學,幾乎不用,沒有,4,3,4,刪除,3,A,P0021
研究所,從來沒使用過,沒有,4,4,5,問同學/朋友,3,A,P0022
研究所,從來沒使用過,沒有,5,5,5,問同學/朋友,5,A,P0023
大學,從來沒使用過,沒有,5,3,4,回報給學校或 IT 單位,3,A,P0024
研究所,從來沒使用過,有,1,2,2,問同學/朋友,1,A,P0025
研究所,從來沒使用過,沒有,5,5,4,回報給學校或 IT 單位,4,A,P0026
大學,幾乎不用,有,5,4,4,刪除,5,A,P0027
研究所,從來沒使用過,沒有,4,3,3,忽略,3,A,P0028
研究所,從來沒使用過,有,1,3,1,回報給學校或 IT 單位,1,A,P0029
大學,幾乎不用,沒有,2,2,2,刪除,3,A,P0030
研究所,從來沒使用過,有,5,5,3,忽略,3,A,P0031
研究所,從來沒使用過,有,4,4,4,刪除,4,A,P0032
大學以下,每天,沒有,1,2,1,回報給學校或 IT 單位,2,A,P0033
大學以下,幾乎不用,有,5,3,5,回報給學校或 IT 單位,5,A,P0034
大學,從來沒使用過,沒有,4,3,4,刪除,2,A,P0035
研究所,從來沒使用過,沒有,5,4,5,忽略,4,A,P0036
大學,從來沒使用過,有,4,3,4,回報給學校或 IT 單位,4,A,P0037
研究所,每週 2–5 次,沒有,5,3,3,回報給學校或 IT 單位,3,A,P0038
大學,從來沒使用過,有,4,4,3,忽略,4,A,P0039
研究所,從來沒使用過,沒有,5,4,3,問同學/朋友,5,A,P0040
其他,從來沒使用過,有,3,5,4,刪除,3,A,P0041
